Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
adarb1b,205,476,192,252,336
adarb2,250,259,256,163,207
adat1,93,122,109,64,67
adat2,194,238,212,135,156
adat3,148,182,90,173,147
adck1,36,84,22,44,69
adck2,616,1053,616,685,443
adck5,238,396,220,222,253
adcy1a,581,600,439,694,705
adcy2a,77,44,41,43,18
adcy2b,8,132,4,2,17
adcy3a,163,413,97,68,49
adcy5,193,149,152,83,227
adcy7,973,1486,1159,1133,1425
adcy8,31,16,13,6,29
adcy9,204,411,166,229,157
adcyap1a,0,2,2,2,2
adcyap1b,0,0,2,0,0
adcyap1r1b,46,109,89,95,62
add1,1403,1012,972,1032,1006
add2,94,217,142,58,125
add3a,754,427,613,1105,401
add3b,650,537,408,141,465
adgb,103,155,71,72,159
adgra2,312,170,172,116,193
adgra3,375,681,399,485,383
adgrb1a,128,89,100,105,202
adgrb2,48,33,25,48,40
adgrb3,2511,4984,1119,1675,2569
adgrd1,6,6,6,150,11
adgrg1,206,204,114,124,143
adgrg4a,0,0,0,2,3
adgrg6,619,1134,692,267,1483
adgrl1a,376,391,239,570,855
adgrl2a,316,208,133,261,216
adgrl3.1,14,4,20,5,12
adgrl4,35,47,49,32,39
adgrv1,459,445,224,228,364
adhfe1,339,299,234,316,273
adi1,1024,1601,885,1497,1288
adipor1a,280,407,267,252,323
adissp,971,1147,652,1099,925
adm2a,54,21,16,2,4
adm2b,23,22,19,13,23
adma,135,192,102,159,182
admp,106,143,39,77,105
adnp2b,2824,2646,1956,2620,3388
adnpa,2319,2753,2016,1905,2668
adnpb,1349,1779,913,1230,1252
adoa,423,585,359,459,202
adora1b,0,0,0,0,0
adora2aa,4,0,0,2,2
adora2ab,89,16,58,16,38
adora2b,6,7,1,0,4
adpgk2,1550,1342,1598,1266,1400
adpgk,816,800,623,652,719
adprh,573,567,287,475,631
adprhl1,18,7,1,37,11
adprm,1549,1289,1062,1007,1000
adprs,1417,845,974,542,587
adra1aa,0,29,16,83,54
adra1d,4,2,2,6,4
adra2a,7,4,2,5,5
adra2b,5,2,8,2,12
adra2c,2,0,0,0,4
adra2db,6,4,2,0,4
adrb1,1,10,16,0,5
adrb2a,28,26,8,8,56
adrb3a,0,4,2,0,0
adsl,1073,1705,728,1294,1056
adss1,419,743,272,214,687
adss2,260,183,141,292,264
adssl,1842,3076,1781,1367,2021
aebp1a,80,87,42,49,77
aebp1b,97,62,94,39,68
afap1,1188,884,1021,693,572
afap1l1a,822,319,451,491,263
afap1l2,226,159,146,58,224
afdna,1189,1852,624,1247,1516
aff2,2,0,0,0,2
aff3,52,6,6,35,6
aff4,1236,1013,1011,861,703
afg1la,686,740,481,538,600
afg1lb,122,152,143,128,154
afg3l1,1020,1107,944,956,1190
afg3l2,793,1360,551,930,1068
afmid,307,241,503,365,117
aftpha,1279,1792,1091,1694,1549
aga,287,387,253,247,456
agap1,818,900,872,707,1038
agap2,34,23,6,12,14
agap3,564,511,534,883,561
agbl2,182,457,274,167,498
agbl4,355,261,183,195,201
agbl5,99,61,103,90,89
agfg1a,1026,1049,1066,970,966
agfg1b,855,715,604,503,727
agfg2,190,278,121,94,182
aggf1,1181,1665,839,902,1127
agk,1947,2222,2066,1719,2082
agla,727,423,386,488,402
agmat,446,721,661,663,807
agmo,272,636,160,456,486
ago1,560,790,517,494,521
ago2,285,248,363,226,372
ago3b,1200,963,887,963,1036
ago4,1048,1372,926,570,796
agpat2,1628,2083,1371,2003,1938
agpat3,1600,3148,1858,2336,2253
agpat4,268,300,285,641,339
agpat5,876,1408,915,1084,1610
agpat9l,4191,3489,3860,2694,2981
agps,3511,3228,3019,2656,3580
agr2,12,12,4,18,6
agrn,266,317,212,175,238
agrp,0,2,0,2,0
agt,2,2,0,0,4
agtpbp1,518,489,348,420,486
agtr1b,36,77,6,8,36
agtrap,10,43,0,309,8
agxt2,38,16,8,6,40
agxta,96,42,38,42,47
agxtb,28,4,30,11,31
ahctf1,2731,4537,2109,2755,3323
ahcy,8730,7674,6577,6764,10692
ahcyl1,100,31,62,26,37
ahcyl2b,676,1164,505,807,977
ahdc1,112,124,74,93,122
ahi1,525,655,476,440,720
ahnak,1250,577,901,355,1140
ahrra,232,342,288,246,248
ahsa1b,2509,4956,2521,4515,4607
ahsg2,6,4,4,5,6
aida,94,87,64,104,131
aif1l,1196,1222,1077,1186,1161
aifm1,3693,4198,2226,2789,3909
aifm4,273,273,207,268,290
aig1,1724,1742,1617,1298,1726
aimp2,168,774,313,700,428
aip,1502,1595,1439,1337,1397
aipl1,0,0,0,0,0
aire,287,54,76,104,249
ajap1,20,22,7,9,3
ajm1,22,24,36,10,58
ajuba,261,181,78,111,98
ak1,282,149,230,196,1938
ak2,6381,9660,4785,7327,6782
ak3,165,691,370,230,344
ak4,509,692,442,150,364
ak5,38,16,8,24,28
ak6,1941,1178,2023,1719,1481
ak7a,382,460,389,283,593
ak7b,276,122,194,187,117
ak8,59,47,46,75,69
ak9,28,21,14,27,43
akap10,585,796,627,622,652
akap11,1213,1428,910,878,1214
akap12a,0,0,0,2,50
akap12b,867,1238,512,771,738
akap17a,537,1216,400,411,479
akap1b,2848,4082,2462,3007,3247
akap6,0,2,2,2,4
akap8l,481,761,601,467,493
akap9,1057,1180,615,688,959
akip1,4146,4764,2441,4876,4277
