Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
jag2b,1054,744,3515,787,961,1856,1704
jagn1a,80,9,161,111,102,140,231
jagn1b,722,965,1317,811,1067,1196,1449
jak1,2810,1359,3380,1123,2482,1405,2274
jak2a,133,74,345,95,353,65,170
jak2b,828,247,874,508,639,467,777
jak3,355,263,224,18,316,156,271
jakmip1,1814,2363,2300,2121,1629,869,984
jakmip2,36,8,27,63,32,42,20
jam2a,415,409,477,193,704,302,575
jam2b,201,143,45,1,695,66,200
jam3a,228,101,980,198,271,419,581
jam3b,2865,2740,5143,2774,4729,3598,7133
jarid2b,448,443,885,491,386,580,504
jazf1b,82,81,276,96,100,148,196
jcada,2551,1282,1287,585,1554,1151,1871
jdp2b,224,172,755,64,150,130,151
jhy,7887,29226,3368,11309,6425,5773,4290
jkamp,777,514,1420,1022,931,844,1089
jmjd1cb,1886,834,2843,1192,1737,1208,1644
jmjd4,256,604,663,365,338,339,635
jmjd6,774,590,1074,876,698,722,907
jmjd7,451,494,510,520,302,416,453
jmjd8,735,487,719,1031,623,553,781
jmy,553,85,114,299,180,221,286
josd1,693,1016,530,895,517,629,550
josd2,378,683,783,441,551,828,789
jph1a,1022,509,811,690,413,432,1242
jph1b,29,0,0,0,0,6,94
jph2,1594,570,495,111,279,168,561
jph3a,168,0,12,26,10,8,20
jph3b,78,0,56,8,14,19,56
jpt1b,2190,3480,4979,3199,3067,3386,3801
jpt2,2873,4096,4749,4257,3671,4820,3773
jtb,863,1027,1000,1610,1012,1184,1180
jun,979,578,2436,549,770,527,666
junba,834,396,721,341,365,414,569
junbb,1191,353,1416,761,720,340,959
june,87,82,251,103,117,198,173
jupa,5445,4453,10372,5324,6304,4161,6532
jupb,85,24,132,21,62,60,131
kalrna,283,139,510,127,321,162,269
kank1a,584,435,469,558,697,528,1184
kank2,3141,3163,3457,1858,2110,1798,4257
kank3,1664,2327,870,2017,1905,1465,2434
kank4,505,510,1589,409,892,516,912
kansl2,370,471,831,461,278,545,888
kansl3,1472,941,1125,1211,957,669,1112
kars1,5638,6026,3295,6011,6104,3730,3642
kat14,822,897,4853,1612,1069,1711,1473
kat2a,1249,1433,4288,2302,1788,1858,1900
kat2b,1331,1606,4818,2173,2198,1544,1913
kat6a,2904,897,2230,1294,1798,1769,2371
kat6b,485,414,954,482,486,578,613
kat7b,720,522,798,629,628,886,834
kat8,760,1583,1462,1481,668,1187,1266
katna1,655,582,1184,574,744,845,1262
katnal1,317,486,328,1455,288,689,396
katnal2,218,125,74,1606,145,169,42
katnb1,677,622,2815,1999,743,2183,1360
katnbl1,1264,1093,1788,1374,1124,1488,1404
kaznb,254,112,716,206,362,375,629
kbtbd12,20,14,21,0,19,2,5
kbtbd2,816,287,556,666,539,994,892
kbtbd3,44,29,90,69,42,128,80
kbtbd4,531,240,453,403,459,512,689
kbtbd7,1180,330,1667,729,761,1701,1597
kbtbd8,1188,1109,1533,1340,1491,1788,1556
kcmf1,730,1023,1040,1114,660,1078,943
kcna10a,0,0,0,0,0,0,0
kcna1b,13,15,125,41,12,63,99
kcna4,114,109,16,25,38,14,69
kcna7,9,0,17,2,9,0,6
kcnab1a,24,19,67,22,18,18,13
kcnab1b,382,268,1020,1123,448,809,638
kcnab2a,593,649,1178,1018,949,417,1331
kcnb1,10,8,7,2,17,8,26
kcnb2b,191,74,235,107,107,255,359
kcnc1b,10,14,50,50,22,45,85
kcnc2,258,115,152,82,120,119,276
kcnc4,39,4,6,34,335,14,171
kcnd1,253,162,139,92,64,174,218
kcnd2,0,0,0,0,0,0,0
kcnd3,63,1,20,7,15,32,30
kcne4,111,319,145,76,392,74,193
kcnf1b,61,113,0,38,11,7,29
kcng1,192,380,61,219,53,207,118
kcng2,17,13,9,23,3,10,27
kcng3,8,6,24,5,6,8,1
kcng4a,512,943,300,389,144,156,147
kcng4b,286,311,178,127,193,250,200
kcnh1a,5,2,2,13,1,5,6
kcnh2b,1958,2068,2111,1840,1957,1321,2031
kcnh3,27,2,65,27,18,62,257
kcnh6a,525,703,749,451,669,590,322
kcnh6b,0,0,0,0,0,2,0
kcnh7,196,60,420,90,133,172,271
kcnh8,173,139,584,261,76,464,340
kcnip1b,312,77,438,116,144,68,168
kcnip3a,544,765,1076,448,706,515,173
kcnip4a,712,675,1046,716,539,557,441
kcnj11,81,27,24,13,10,41,21
kcnj11l,40,75,80,91,67,54,26
kcnj12a,0,0,0,0,0,0,0
